snapshot,ccgt,hard coal,hydro,ocgt,solar,wind
2020-01-01 00:00:00,4297.0871885274,15445.544513861105,131.76,3261.434,0.0,3958.674297611495
2020-01-01 01:00:00,4371.5580548834005,15075.30599059234,131.76,3247.3782119944003,0.0,4065.99774252986
2020-01-01 02:00:00,3978.9829218630002,14941.78147495126,131.76,3222.6282119944003,0.0,4103.847391191338
2020-01-01 03:00:00,3873.9669278084993,14726.677848808102,131.76,3105.2704694617,0.0,4084.5747539216977
2020-01-01 04:00:00,3724.7569514011993,14266.870315220958,131.76,3050.5794086444002,0.0,4089.03332473344
2020-01-01 05:00:00,3546.8131878472996,14019.84442923102,131.76,3013.4086467770003,0.0,4031.42373614468
2020-01-01 06:00:00,3636.4569085052,14223.156367800211,131.76,2900.2874938997,0.0,4009.0892297948903
2020-01-01 07:00:00,3399.3462748683996,13539.71508072447,131.76,2995.6819252801006,198.06853346,3963.42818566703
2020-01-01 08:00:00,2028.1027018227,11910.166501825319,2.46,3008.98876528192,3586.95302979374,3943.32900127632
2020-01-01 09:00:00,1693.0437710438,10593.87212591741,2.46,2868.7933398213,6057.99240822024,3747.5883549972496
2020-01-01 10:00:00,1625.3207070707,9900.020452196819,2.46,2078.1336163746,7882.9108723582,3612.15435199968
2020-01-01 11:00:00,1608.5572390572,9053.9891549748,2.46,1731.2590958704,9471.5500617771,3350.1844483205
2020-01-01 12:00:00,1618.0269360269,8876.821502631428,2.46,1745.6893305438998,10008.5461005349,3319.70613026287
2020-01-01 13:00:00,1886.0,9503.47071348192,2.46,1767.9576284032999,9512.5113717627,3265.60028635208
2020-01-01 14:00:00,1868.0,10103.12583319304,2.46,1808.4576284032999,8958.1743227028,3256.28221570086
2020-01-01 15:00:00,1881.0538720539,12244.11818783189,2.46,1817.7121763387001,6626.33788420353,3206.56787957198
2020-01-01 16:00:00,3010.7152576918998,14434.156536233239,2.46,2565.50134770527,2128.32372055747,3358.09313781212
2020-01-01 17:00:00,3636.8581961426,15735.789648498072,131.76,3224.8161536597004,0.0,3481.02600169963
2020-01-01 18:00:00,4489.6740414904,15843.59616238644,131.76,3222.033544964,0.0,3580.6862511591603
2020-01-01 19:00:00,4315.17334255741,16315.252139259179,131.76,3281.8028981869,0.0,3628.76161999651
2020-01-01 20:00:00,4343.1010609275,16258.35168455868,131.76,3309.6365801953,0.0,3641.15067431852
2020-01-01 21:00:00,4395.8867949103,15984.096092774369,131.76,3288.2519916318,0.0,3634.25512068353
2020-01-01 22:00:00,4235.6316610176,16006.21059213731,131.76,3262.0856736402,0.0,3643.31207320489
2020-01-01 23:00:00,4103.912590488801,15538.22696631242,131.76,3240.1414616458,0.0,3589.95898155298
