snapshot,0
2020-07-01 00:00:00,222.65088755479127
2020-07-01 01:00:00,224.81530757657907
2020-07-01 02:00:00,235.81605698698695
2020-07-01 03:00:00,241.88219109085603
2020-07-01 04:00:00,256.74720260586184
2020-07-01 05:00:00,324.917433345045
2020-07-01 06:00:00,516.6175185039314
2020-07-01 07:00:00,1382.6529963535002
2020-07-01 08:00:00,2186.7984240748638
2020-07-01 09:00:00,3232.254765967162
2020-07-01 10:00:00,4048.4073681578116
2020-07-01 11:00:00,5873.4949287369345
2020-07-01 12:00:00,5334.4282565615695
2020-07-01 13:00:00,4841.752235297966
2020-07-01 14:00:00,3411.4385704532942
2020-07-01 15:00:00,2502.91626166707
2020-07-01 16:00:00,1621.3806167471103
2020-07-01 17:00:00,738.1849262592826
2020-07-01 18:00:00,510.3095599728871
2020-07-01 19:00:00,265.1002307425344
2020-07-01 20:00:00,258.908428726307
2020-07-01 21:00:00,288.7484657780339
2020-07-01 22:00:00,319.8732576829781
2020-07-01 23:00:00,331.8120973938993
