snapshot,ccgt,hard coal,hydro,ocgt,solar,wind
2020-07-01 00:00:00,4194.435069929699,12236.889786461199,131.76,2937.4955649241,0.0,2720.419578685
2020-07-01 01:00:00,3635.9104096808,12140.60467703482,129.3,2842.5083230585,0.0,2714.42659022588
2020-07-01 02:00:00,3421.9662190577,11673.19101360866,131.76,2762.0212608852003,0.0,2909.06150644844
2020-07-01 03:00:00,3501.3715185649,11259.22012879985,131.76,2675.6515306996002,0.0,3035.24682193565
2020-07-01 04:00:00,3412.1609561859996,11284.432917232325,129.3,2663.0892950543,49.809618137174,2987.9572133902
2020-07-01 05:00:00,3087.2372369444547,10066.72934298586,3.3,2675.4742739854996,1624.7660304783456,2814.99311560584
2020-07-01 06:00:00,1744.1442449603,9317.660914454389,0.0,1871.9471312605,4174.0641085812,2689.93360074361
2020-07-01 07:00:00,1443.7979616307,8915.66851036448,2.46,1453.1567882122,5688.33927058,2751.07746921262
2020-07-01 08:00:00,1433.8513189448,8389.67006944702,2.46,1329.8996489094,6891.9772763675,2802.89168633128
2020-07-01 09:00:00,1351.543764988,7697.300359710439,2.46,1380.4879951897,7910.1463294012,3276.06155071066
2020-07-01 10:00:00,1371.9298561151,7387.75456204402,2.46,1413.7052705055999,8601.137291053,3716.26302028228
2020-07-01 11:00:00,1372.2907673861,6493.68638733328,2.46,1394.3402814253998,9048.1847229846,3741.287840870619
2020-07-01 12:00:00,1379.4016786571,6607.3532072138605,2.46,1426.2026373262001,9405.8954470836,3602.187029719239
2020-07-01 13:00:00,1352.26558753,6968.784098270262,2.46,1444.407555359,8784.298990340158,3860.0337685005798
2020-07-01 14:00:00,1358.5701438849,6463.70237404318,2.46,1454.7704918033,9089.653020567199,3815.84396970142
2020-07-01 15:00:00,1318.0701438849,6879.50340277517,2.46,1425.9492992011,9003.9538798394,3753.06327429943
2020-07-01 16:00:00,1320.76558753,7651.359976967979,0.0,1458.6645149698,8207.3234161066,3668.38650442562
2020-07-01 17:00:00,1357.3944425783998,9320.572836808551,2.46,1479.9326211365003,6505.8548796779605,3797.78521979859
2020-07-01 18:00:00,2473.584647108,10334.22793616054,2.46,1484.8266355846,4273.84753144446,3634.0532497024
2020-07-01 19:00:00,3089.7243279724,12134.67049351106,131.76,1902.672141916,2195.6929212993114,3139.98011530123
2020-07-01 20:00:00,3539.4552913033995,12774.513897797251,131.76,2256.39690128697,603.9280837027,3083.69582590968
2020-07-01 21:00:00,3605.2274565635,12967.85789016188,129.3,2836.81546512584,0.0,3221.79918814878
2020-07-01 22:00:00,4017.6420355666996,12919.58764968691,129.3,2846.32805739087,0.0,3331.8922573555196
2020-07-01 23:00:00,3832.5631987846,12673.56085998046,129.3,2969.3375948912,0.0,3360.98834634374
