snapshot,ccgt,hard coal,hydro,ocgt,solar,wind,battery
2020-01-01 00:00:00,7183.5629525854,14983.272666368968,131.76,3261.434,0.0,3958.674297611495,462.2718474921371
2020-01-01 01:00:00,2142.0999867877,14695.566110592341,91.65627710149926,3247.3782119944003,0.0,4065.99774252986,2649.301670994201
2020-01-01 02:00:00,3362.5090398139,17619.78147495126,131.76,3222.6282119944003,0.0,4103.847391191338,901.2779069767
2020-01-01 03:00:00,7082.634720851899,12048.677848808104,131.76,3105.2704694617,0.0,4084.5747539216977,2678.0
2020-01-01 04:00:00,2412.9461162008,16294.69903214683,2.46,3034.9815616878,0.0,4089.03332473344,1836.4485621570002
2020-01-01 05:00:00,1889.7899320333,11612.27583230515,131.76,3013.4086467770003,0.0,4031.42373614468,4064.59185273987
2020-01-01 06:00:00,4958.7525799233,14145.20248780021,131.76,2900.2874938997,0.0,4009.0892297948903,0.0
2020-01-01 07:00:00,2306.7368350168,14582.332874925673,131.76,2995.6819252801006,198.06853346,3963.42818566703,1244.3417914180998
2020-01-01 08:00:00,2028.1027018227,11062.749459126428,2.46,2957.8036320417,3530.4637824819597,3899.2710302618198,999.1493942653914
2020-01-01 09:00:00,1693.0437710438,10970.235063982529,0.0,2868.7933398213,6460.55407926854,3795.7111568352398,195.20075150231165
2020-01-01 10:00:00,1625.3207070707,11648.128154109281,0.0,2078.1336163746,8624.936738545479,3659.4325180603996,115.48100072719012
2020-01-01 11:00:00,1608.5572390572,8560.380492390157,2.46,1731.2590958704,12066.6267069971,3412.41144528717,493.60866258464307
2020-01-01 12:00:00,1618.0269360269,8512.248871562393,2.46,1745.6893305438998,9837.2058010949,3334.36892096057,1270.5726310690366
2020-01-01 13:00:00,1886.0,8619.045653823649,2.46,1767.9576284032999,9225.604634392701,3285.40261193348,1761.1750596582715
2020-01-01 14:00:00,1868.0,11584.641858256946,2.46,1808.4576284032999,10690.821937132801,3339.25895988686,0.0
2020-01-01 15:00:00,1881.0538720539,10196.602162767984,2.46,1817.7121763387001,7276.87826062953,3266.56787957198,2047.516025063906
2020-01-01 16:00:00,1661.9898989899,15000.15653623324,2.46,2517.4536348993997,2074.05614404794,3288.23806534832,1520.8957204812
2020-01-01 17:00:00,2361.3539166238,15169.789648498072,131.76,3224.8161536597004,0.0,3481.02600169963,2013.674641298
2020-01-01 18:00:00,6650.104041490399,18443.700162386438,2.46,3138.6995449640003,0.0,3480.68625115916,1026.5
2020-01-01 19:00:00,1931.1870944819,13257.51225925918,2.46,3198.4688981869003,0.0,3532.81959101101,5750.30215706101
2020-01-01 20:00:00,3706.19130088701,16258.35168455868,131.76,3309.6365801953,0.0,3641.15067431852,801.90581395349
2020-01-01 21:00:00,6791.160674910299,15604.35621277437,2.46,3204.9179916318003,0.0,3554.25512068353,1073.5
2020-01-01 22:00:00,2588.9642501514004,19284.21059213731,131.76,3262.0856736402,0.0,3643.31207320489,1241.8953488372
2020-01-01 23:00:00,2821.6757323694,13322.498813804557,131.76,3240.1414616458,0.0,3589.95898155298,3770.232803670663
